Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Dying Poplars and Live Branch - Lake George,Alfred Stieglitz,5664,"(American, 1864–1946)",(American),(1864),(1946),(Male),1932,Gelatin silver print,"9 5/16 × 7 3/8"" (23.7 × 18.8 cm)
",Alfred Stieglitz Collection. Gift of Georgia O'Keeffe,66.1950,Photograph,Photography,1950-01-06,N,45416,,,,,,23.7,,,18.8,,
Untitled,Unknown photographer,8595,,(),(0),(0),(),c. 1938–60,Gelatin silver print,"Approx. 2 × 2"" (5.1 × 5.1 cm)",Gift of Peter J. Cohen,767.2017.235,Photograph,Photography,2017-10-26,Y,277234,http://www.moma.org/collection/works/277234,http://www.moma.org/media/W1siZiIsIjQzNDcwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4dd6815c7a8fd465,,,,5.08001016,,,5.08001016,,
Louis Valtat from Twelve Original Lithographs by Pierre-Auguste Renoir (Douze lithographies originales de Pierre-Auguste Renoir),Pierre-Auguste Renoir,4869,"(French, 1841–1919)",(French),(1841),(1919),(Male),"c. 1904, published 1919",One from a portfolio of twelve lithographs,"composition (irreg.): 11 3/4 x 9 3/8"" (29.8 x 23.8 cm); sheet: 13 × 9 13/16"" (33 × 25 cm)",The Louis E. Stern Collection,1032.1964.2,Print,Drawings & Prints,1964-10-06,Y,30170,http://www.moma.org/collection/works/30170,http://www.moma.org/media/W1siZiIsIjMzNTc0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1f6c9c8f409e8818,,,,29.8,,,23.8,,
Plate (page 130) from POÈSIES ANTILLAISES,Henri Matisse,3832,"(French, 1869–1954)",(French),(1869),(1954),(Male),1946-1972,,"irreg. composition  14 3/4 x 9 3/4"" (37.4 x 24.8 cm)",Acquired by exchange,31.1973.100,Illustrated Book,Drawings & Prints,1973-01-04,N,10218,,,,,,37.4,,,24.8,,
Untitled from Vanish,Sol LeWitt,3528,"(American, 1928–2007)",(American),(1928),(2007),(Male),1994,One from a series of forty screenprints,"composition: 17 1/4 × 12 1/2"" (43.8 × 31.8 cm); sheet: 18 1/16 × 13 3/8"" (45.8 × 33.9 cm)",Gift of the artist,38.1996.23,Print,Drawings & Prints,1996-03-12,Y,143711,http://www.moma.org/collection/works/143711,http://www.moma.org/media/W1siZiIsIjIwNTE3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d8718019d77d0c1f,,,,43.8,,,31.8,,
Tuileries statue,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(Male),1911-12,Albumen silver print,"Approx. 8 11/16 × 6 9/16"" (22 × 16.7 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.2751,Photograph,Photography,1968-03-06,Y,40754,http://www.moma.org/collection/works/40754,http://www.moma.org/media/W1siZiIsIjMwMjc0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a1eaa21f84d4b665,,,,,,,,,
Tanaqvil Flatware,Magnus Stephensen,5646,"(Danish, 1903–1984)",(Danish),(1903),(1984),(Male),1955,Stainless steel,".10 (serving fork): l. 9 3/4 x w. 2 5/8"" (l. 24.7 x w. 6.7 cm)
",Gift of the manufacturer,2293.2001.10,Design,Architecture & Design,2001-09-24,Y,91816,http://www.moma.org/collection/works/91816,http://www.moma.org/media/W1siZiIsIjIzMDI1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1ef42de47aa2e7fb,,,,,24.7,,6.6675,,
Ale Cans,Jasper Johns,2923,"(American, born 1930)",(American),(1930),(0),(Male),1964,Lithograph with crayon additions,"composition: 14 1/16 × 11"" (35.7 × 27.9 cm); sheet (irreg.): 26 9/16 × 20 5/8"" (67.5 × 52.4 cm)",Gift of the artist in honor of Tatyana Grosman,304.1985,Print,Drawings & Prints,1985-10-07,Y,66511,http://www.moma.org/collection/works/66511,http://www.moma.org/media/W1siZiIsIjIyMTM5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=11e98c9d8ab239da,,,,35.7,,,27.9,,
"Untitled, plate 1 of 14, from the portfolio, Autobiographical Series",Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(Female),1994,"Drypoint and aquatint, with hand additions","plate: 13 13/16 x 10"" (35.1 x 25.4 cm); sheet: 22 7/16 x 17 15/16"" (57 x 45.5 cm)",Gift of the artist,618.2008,Print,Drawings & Prints,2008-06-18,Y,59459,http://www.moma.org/collection/works/59459,http://www.moma.org/media/W1siZiIsIjE1OTUwNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d7ca5d4a9d5ddf07,,,,35.1,,,25.4,,
Double page plate (folios 18 verso and 19) from SKETCHBOOK 1982,Roger Brown,811,"(American, 1941–1997)",(American),(1941),(1997),(Male),1983,"Lithograph, printed in black on white, smooth, wove Arches 88 paper and photolithographic reproduction of newspaper advertisement, printed in black on light gray, smooth, wove paper taped to white, smooth, wove Arches 88 paper","irreg. composition  10 1/8 x 16 7/8"" (25 x 42.8 cm)",John B. Turner Fund,254.1984.17,Illustrated Book,Drawings & Prints,1984-10-02,N,14289,,,,,,25.0,,,42.8,,
